# NOAA NCEI Thermal Springs List for the United States (1981)
# source:    https://www.ncei.noaa.gov/data/oceans/archive/arc0238/0303600/1.1/data/0-data/geothermal_database/data/NCEI-thermal-springs.xlsx
# doi:       10.25921/c8p0-zs06
# sha256:    bb3e65d8fbf34d25b6e6d071f86dc5d67f68ee022d55ff7aac428d29283d351c
# licence:   CC0-1.0 Public Domain Dedication
# retrieved: 2026-09-07
# Generated by scripts/fetch-ncei.mjs. Do not edit by hand.
state	lat	lng	name	tf	tc
CA	37.398000000000003	-121.794	MINERAL SPRINGS	84	29
CA	35.575000000000003	-118.53400000000001	MIRACLE HOT SPRS, HOBO HOT SPRS	119	48
CA	35.482999999999997	-119.917	MIZE SPRING	73	23
CA	38.033000000000001	-118.902	MONO BASIN WARM SPRINGS	88	31
CA	37.326999999999998	-119.018	MONO HOT SPRINGS	109	43
CA	34.460999999999999	-119.637	MONTECITO HOT SPRINGS	118	48
CA	40.381999999999998	-121.51300000000001	MORGAN HOT SPRING	205	96
CA	33.201000000000001	-115.577	MUD POTS	100	38
CA	33.212000000000003	-115.59099999999999	MUD POTS	100	38
CA	33.332000000000001	-115.575	MUD VOLCANOES	W	W
CA	33.328000000000003	-115.583	MUD VOLCANOES	W	W
CA	33.311999999999998	-115.577	MUD VOLCANOES	W	W
CA	33.287999999999997	-115.575	MUD VOLCANOES	W	W
CA	33.28	-115.592	MUD VOLCANOES	W	W
CA	33.343000000000004	-115.57299999999999	MUD VOLCANOES	W	W
CA	33.344999999999999	-115.58799999999999	MUD VOLCANOES	W	W
CA	33.313000000000002	-115.605	MUD VOLCANOES	W	W
CA	39.429000000000002	-123.30800000000001	MUIR SPRINGS	68	20
CA	33.558	-117.154	MURRIETTA HOT SPRINGS	132	56
CA	38.85	-120.02500000000001	MYERS WARM SPRING	75	24
CA	38.518999999999998	-122.26	NAPA ROCK SODA SPRING, PHILLIPS SOD	78	26
CA	38.338999999999999	-122.259	NAPA VICHY SPRINGS	76	24
CA	36.512	-116.821	NEVARES SPRINGS	102	39
CA	34.826000000000001	-116.67700000000001	NEWBERRY SPRING	77	25
CA	39.195999999999998	-122.714	NEWMAN SPRINGS	94	35
CA	35.122	-120.542	NEWSOM SPRINGS	99	37
CA	38.832999999999998	-122.357	ONE SHOT MINING CO	72	22
CA	39.226999999999997	-123.36199999999999	ORRS SPRINGS	104	40
CA	36.814	-117.76300000000001	PALM SPRING	120	49
CA	33.823	-116.542	PALM SPRINGS (AGUA CALIENTE SPRING)	104	40
CA	34.271000000000001	-116.83799999999999	PAN HOT SPRINGS	88	31
CA	37.993000000000002	-119.02800000000001	PAOHA ISLAND SPRINGS	181	83
CA	35.143000000000001	-116.813	PARADISE SPRING	100	38
CA	36.331000000000003	-121.367	PARAISO SPRINGS (SULPHUR SPRING)	98	37
CA	35.662999999999997	-120.69199999999999	PASO ROBLES ARTESIAN SPRING	102	39
CA	35.268999999999998	-120.851	PECHO WARM SPRINGS	95	35
CA	39.697000000000003	-123.47799999999999	PINCHES SPRING	70	21
CA	38.85	-122.693	PINE CONE SPRING	78	26
CA	38.874000000000002	-123.518	POINT ARENA HOT SPRINGS	111	44
CA	41.828000000000003	-120.917	POTHOLE SPRING	78	26
CA	39.198	-122.505	PSEUDO COMPLEXION SPRING	81	27
CA	39.052999999999997	-122.59699999999999	QUIGLEY SODA SPRING	82	28
CA	37.618000000000002	-119.074	REDS MEADOW HOT SPRINGS	115	46
CA	35.878999999999998	-116.15300000000001	RESTING SPRING	80	27
CA	38.957999999999998	-122.70099999999999	RIVIERA BEACH SPRING	93	34
CA	37.880000000000003	-122.627	ROCKY POINT SPRINGS	90	32
CA	37.432000000000002	-121.30800000000001	SALT GRASS SPRINGS	73	23
CA	33.588999999999999	-117.511	SAN JUAN HOT SPRINGS	120	49
CA	34.536999999999999	-119.879	SAN MARCOS HOT SPRING	110	43
